Frequency (Hz)	Level (dB)
10.766602	-55.105450
21.533203	-52.367130
32.299805	-52.929787
43.066406	-54.328640
53.833008	-54.313709
64.599609	-55.435139
75.366211	-54.653515
86.132812	-58.586033
96.899414	-58.754871
107.666016	-56.243385
118.432617	-59.066807
129.199219	-61.669800
139.965820	-61.297222
150.732422	-58.294712
161.499023	-62.047291
172.265625	-63.595470
183.032227	-58.787426
193.798828	-59.998932
204.565430	-60.137249
215.332031	-55.430359
226.098633	-55.450020
236.865234	-61.416065
247.631836	-64.535210
258.398438	-61.521729
269.165039	-60.539726
279.931641	-61.309589
290.698242	-62.781414
301.464844	-65.020111
312.231445	-64.620323
322.998047	-63.183319
333.764648	-62.876354
344.531250	-62.394112
355.297852	-60.221668
366.064453	-57.492931
376.831055	-61.487190
387.597656	-62.134651
398.364258	-65.629852
409.130859	-65.331177
419.897461	-61.917767
430.664062	-59.157871
441.430664	-59.549374
452.197266	-62.804771
462.963867	-65.408516
473.730469	-61.321693
484.497070	-61.595974
495.263672	-62.649323
506.030273	-64.786514
516.796875	-62.333847
527.563477	-59.194103
538.330078	-60.222256
549.096680	-63.990047
559.863281	-64.492676
570.629883	-66.480057
581.396484	-61.448647
592.163086	-62.596588
602.929688	-63.904030
613.696289	-63.742817
624.462891	-66.899414
635.229492	-66.381104
645.996094	-68.536552
656.762695	-61.833893
667.529297	-62.691315
678.295898	-59.823071
689.062500	-60.426975
699.829102	-65.189964
710.595703	-64.220978
721.362305	-64.317490
732.128906	-63.225990
742.895508	-59.274002
753.662109	-59.665829
764.428711	-63.553429
775.195312	-63.536564
785.961914	-62.090500
796.728516	-59.981842
807.495117	-59.964897
818.261719	-59.250553
829.028320	-61.866199
839.794922	-65.402946
850.561523	-64.967873
861.328125	-66.603561
872.094727	-65.023972
882.861328	-65.053535
893.627930	-63.288410
904.394531	-64.006607
915.161133	-66.491638
925.927734	-64.257195
936.694336	-64.620857
947.460938	-62.257969
958.227539	-62.343624
968.994141	-62.375393
979.760742	-62.518658
990.527344	-65.100624
1001.293945	-64.141411
1012.060547	-63.027782
1022.827148	-63.524887
1033.593750	-63.510323
1044.360352	-60.844654
1055.126953	-61.589886
1065.893555	-71.657646
1076.660156	-65.425224
1087.426758	-63.882786
1098.193359	-63.871075
1108.959961	-62.430088
1119.726562	-62.851528
1130.493164	-63.016254
1141.259766	-60.889824
1152.026367	-62.435440
1162.792969	-61.594727
1173.559570	-59.379425
1184.326172	-62.076164
1195.092773	-61.721478
1205.859375	-63.864056
1216.625977	-66.375610
1227.392578	-64.182762
1238.159180	-63.662590
1248.925781	-67.361504
1259.692383	-63.943008
1270.458984	-61.261120
1281.225586	-62.868805
1291.992188	-66.371033
1302.758789	-62.047157
1313.525391	-61.051140
1324.291992	-62.560001
1335.058594	-65.759232
1345.825195	-70.103165
1356.591797	-66.242966
1367.358398	-64.882088
1378.125000	-64.187241
1388.891602	-59.984730
1399.658203	-64.384354
1410.424805	-63.713661
1421.191406	-67.952667
1431.958008	-67.906013
1442.724609	-64.991226
1453.491211	-63.773792
1464.257812	-61.760170
1475.024414	-63.104370
1485.791016	-66.201065
1496.557617	-65.037827
1507.324219	-67.821747
1518.090820	-63.067005
1528.857422	-61.019482
1539.624023	-63.147827
1550.390625	-62.676281
1561.157227	-61.951183
1571.923828	-63.531185
1582.690430	-63.556187
1593.457031	-64.644760
1604.223633	-62.700844
1614.990234	-63.551544
1625.756836	-64.902016
1636.523438	-68.714218
1647.290039	-65.783112
1658.056641	-62.750763
1668.823242	-61.836021
1679.589844	-62.619545
1690.356445	-65.986221
1701.123047	-64.378441
1711.889648	-61.369972
1722.656250	-63.866367
1733.422852	-60.954613
1744.189453	-61.263889
1754.956055	-63.715355
1765.722656	-67.069374
1776.489258	-66.808250
1787.255859	-67.635223
1798.022461	-67.123238
1808.789062	-61.674564
1819.555664	-61.359898
1830.322266	-62.745705
1841.088867	-63.395905
1851.855469	-63.199863
1862.622070	-66.094276
1873.388672	-65.369141
1884.155273	-62.678959
1894.921875	-63.177132
1905.688477	-64.313416
1916.455078	-62.923260
1927.221680	-63.631180
1937.988281	-62.877193
1948.754883	-63.952877
1959.521484	-68.265450
1970.288086	-66.368752
1981.054688	-62.842808
1991.821289	-62.302216
2002.587891	-64.601456
2013.354492	-61.136257
2024.121094	-60.696159
2034.887695	-65.134552
2045.654297	-65.813980
2056.420898	-63.075207
