Frequency (Hz)	Level (dB)
10.766602	-48.983994
21.533203	-47.588085
32.299805	-47.017597
43.066406	-45.286980
53.833008	-45.487106
64.599609	-47.617222
75.366211	-42.429813
86.132812	-37.173046
96.899414	-34.473370
107.666016	-36.967541
118.432617	-40.230499
129.199219	-41.236938
139.965820	-40.788357
150.732422	-42.328217
161.499023	-45.091087
172.265625	-46.149323
183.032227	-46.530960
193.798828	-46.338455
204.565430	-44.335499
215.332031	-43.869946
226.098633	-43.661846
236.865234	-43.247303
247.631836	-43.275101
258.398438	-42.424454
269.165039	-41.055836
279.931641	-38.632549
290.698242	-38.688591
301.464844	-41.101398
312.231445	-43.051876
322.998047	-43.254211
333.764648	-43.760544
344.531250	-45.331142
355.297852	-44.863426
366.064453	-44.436161
376.831055	-44.421215
387.597656	-44.290588
398.364258	-44.597866
409.130859	-45.069836
419.897461	-45.588455
430.664062	-46.852886
441.430664	-47.683372
452.197266	-48.605049
462.963867	-48.832302
473.730469	-49.248814
484.497070	-49.828484
495.263672	-49.149574
506.030273	-47.099831
516.796875	-46.211090
527.563477	-46.594685
538.330078	-45.378811
549.096680	-43.844585
559.863281	-42.179333
570.629883	-41.673283
581.396484	-42.444550
592.163086	-42.513992
602.929688	-42.849972
613.696289	-44.029457
624.462891	-44.340088
635.229492	-43.923832
645.996094	-43.992859
656.762695	-42.750214
667.529297	-42.997219
678.295898	-44.002007
689.062500	-43.495510
699.829102	-43.152996
710.595703	-42.731384
721.362305	-40.228260
732.128906	-41.594013
742.895508	-44.531136
753.662109	-44.368046
764.428711	-44.257565
775.195312	-45.763557
785.961914	-45.933395
796.728516	-43.220676
807.495117	-42.988907
818.261719	-41.132301
829.028320	-39.718437
839.794922	-38.173470
850.561523	-38.536896
861.328125	-42.415924
872.094727	-44.860023
882.861328	-44.999226
893.627930	-43.692066
904.394531	-43.416580
915.161133	-45.168758
925.927734	-46.592762
936.694336	-48.052769
947.460938	-49.675972
958.227539	-47.937336
968.994141	-47.446594
979.760742	-46.881805
990.527344	-47.385296
1001.293945	-49.031860
1012.060547	-49.420914
1022.827148	-49.856670
1033.593750	-50.012291
1044.360352	-49.532341
1055.126953	-49.355278
1065.893555	-48.347446
1076.660156	-48.404297
1087.426758	-49.241798
1098.193359	-49.118214
1108.959961	-49.625160
1119.726562	-49.709930
1130.493164	-48.913788
1141.259766	-49.575100
1152.026367	-49.263664
1162.792969	-48.427959
1173.559570	-47.176556
1184.326172	-46.215763
1195.092773	-47.353134
1205.859375	-48.078773
1216.625977	-45.786385
1227.392578	-43.519402
1238.159180	-44.396786
1248.925781	-46.021755
1259.692383	-44.844078
1270.458984	-44.534752
1281.225586	-46.463352
1291.992188	-47.165646
1302.758789	-46.092831
1313.525391	-44.020748
1324.291992	-45.005859
1335.058594	-46.181744
1345.825195	-46.988373
1356.591797	-46.216919
1367.358398	-45.839600
1378.125000	-45.085930
1388.891602	-44.332165
1399.658203	-43.906410
1410.424805	-43.993320
1421.191406	-45.335506
1431.958008	-45.627113
1442.724609	-44.672230
1453.491211	-44.240879
1464.257812	-43.946850
1475.024414	-43.936401
1485.791016	-44.108482
1496.557617	-43.121052
1507.324219	-43.831516
1518.090820	-44.389359
1528.857422	-43.420418
1539.624023	-41.880932
1550.390625	-43.011707
1561.157227	-43.968193
1571.923828	-43.786884
1582.690430	-43.511951
1593.457031	-42.270470
1604.223633	-43.056911
1614.990234	-44.156601
1625.756836	-42.875645
1636.523438	-42.059856
1647.290039	-42.343403
1658.056641	-42.759239
1668.823242	-42.138386
1679.589844	-41.402195
1690.356445	-42.286896
1701.123047	-44.324383
1711.889648	-45.885891
1722.656250	-46.922974
1733.422852	-46.309925
1744.189453	-45.547291
1754.956055	-46.270222
1765.722656	-47.121586
1776.489258	-48.549538
1787.255859	-49.790775
1798.022461	-50.085285
1808.789062	-49.597893
1819.555664	-49.485615
1830.322266	-49.861656
1841.088867	-51.404457
1851.855469	-51.651306
1862.622070	-50.620972
1873.388672	-49.984684
1884.155273	-50.888420
1894.921875	-51.135796
1905.688477	-52.445549
1916.455078	-51.764847
1927.221680	-50.289509
1937.988281	-50.059273
1948.754883	-50.988495
1959.521484	-50.811314
1970.288086	-49.683037
1981.054688	-50.207767
1991.821289	-49.767513
2002.587891	-48.904545
2013.354492	-48.510162
2024.121094	-48.102604
2034.887695	-46.934345
2045.654297	-46.369598
2056.420898	-46.925335
2067.187500	-47.341377
2077.954102	-47.695583
2088.720703	-48.199207
2099.487305	-48.180397
2110.253906	-48.644489
2121.020508	-48.098793
2131.787109	-46.224747
2142.553711	-44.551723
2153.320312	-44.685425
2164.086914	-45.305382
2174.853516	-45.115170
2185.620117	-44.995407
2196.386719	-45.522648
2207.153320	-45.782661
2217.919922	-45.763123
2228.686523	-45.710388
2239.453125	-45.421379
2250.219727	-45.467079
2260.986328	-44.157440
2271.752930	-43.507446
2282.519531	-44.101406
2293.286133	-45.073055
2304.052734	-45.456474
2314.819336	-45.017765
2325.585938	-45.194164
2336.352539	-43.308659
2347.119141	-43.985329
2357.885742	-45.347198
2368.652344	-46.553211
2379.418945	-44.845818
2390.185547	-44.618065
2400.952148	-45.818810
2411.718750	-44.860115
